ga_avgSessionDuration,ga_avgTimeOnPage,ga_bounceRate,ga_browser,ga_date,ga_deviceCategory,ga_exitRate,ga_newUsers,ga_operatingSystem,ga_pageviews,ga_pageviewsPerSession,ga_sessions,ga_sessionsPerUser,ga_users,isDataGolden,view_id
0.0,0.0,100.0,Chrome,2022-12-30,desktop,100.0,2,Linux,2,1.0,2,1.0,2,True,219096830
0.0,0.0,100.0,Chrome,2022-12-30,desktop,100.0,8,Macintosh,8,1.0,8,1.0,8,True,219096830
398.8,997.0,60.0,Chrome,2022-12-30,desktop,71.42857142857143,4,Windows,7,1.4,5,1.0,5,True,219096830
89.8,40.90909090909091,30.0,Chrome,2022-12-30,mobile,31.25,5,Android,32,3.2,10,1.4285714285714286,7,True,219096830
247.0,61.75,0.0,Firefox,2022-12-30,mobile,20.0,1,Android,10,5.0,2,2.0,1,True,219096830
7.0,7.0,0.0,Chrome,2022-12-30,mobile,50.0,1,iOS,2,2.0,1,1.0,1,True,219096830
47.0,37.55,31.25,Safari,2022-12-30,mobile,44.44444444444444,12,iOS,36,2.25,16,1.0666666666666669,15,True,219096830
131.8,164.5,60.0,Chrome,2022-12-31,desktop,55.55555555555556,5,Windows,9,1.8,5,1.0,5,True,219096830
706.4,1177.3333333333333,40.0,Chrome,2022-12-31,mobile,62.5,3,Android,8,1.6,5,1.25,4,True,219096830
26.0625,25.9375,56.25,Safari,2022-12-31,mobile,50.0,13,iOS,32,2.0,16,1.2307692307692308,13,True,219096830
0.0,0.0,100.0,Safari,2023-01-01,desktop,100.0,2,Macintosh,2,1.0,2,1.0,2,True,219096830
27.0,54.0,50.0,Chrome,2023-01-01,desktop,66.66666666666666,2,Windows,3,1.5,2,1.0,2,True,219096830
34.875,46.333333333333336,50.0,Chrome,2023-01-01,mobile,57.14285714285714,6,Android,14,1.75,8,1.1428571428571428,7,True,219096830
118.0,236.0,50.0,Samsung Internet,2023-01-01,mobile,66.66666666666666,0,Android,3,1.5,2,2.0,1,True,219096830
22.0,28.6,53.84615384615385,Safari,2023-01-01,mobile,56.52173913043478,12,iOS,23,1.7692307692307692,13,1.0,13,True,219096830
0.0,0.0,100.0,Safari,2023-01-01,tablet,100.0,1,iOS,1,1.0,1,1.0,1,True,219096830
70.0,42.0,66.66666666666666,Chrome,2023-01-02,desktop,37.5,4,Windows,16,2.6666666666666665,6,1.2,5,True,219096830
143.4,143.3,50.0,Chrome,2023-01-02,mobile,50.0,9,Android,20,2.0,10,1.1111111111111112,9,True,219096830
47.30434782608695,36.23333333333333,39.130434782608695,Safari,2023-01-02,mobile,43.39622641509434,18,iOS,53,2.3043478260869565,23,1.15,20,True,219096830
172.0,86.5,0.0,Safari,2023-01-02,tablet,33.33333333333333,1,iOS,3,3.0,1,1.0,1,True,219096830
0.0,0.0,100.0,Chrome,2023-01-03,desktop,100.0,1,Linux,1,1.0,1,1.0,1,True,219096830
236.0,78.66666666666667,0.0,Chrome,2023-01-03,desktop,25.0,1,Macintosh,4,4.0,1,1.0,1,True,219096830
40.526315789473685,59.30769230769231,63.1578947368421,Chrome,2023-01-03,desktop,59.375,13,Windows,32,1.6842105263157894,19,1.2666666666666666,15,True,219096830
629.5,209.83333333333331,0.0,Edge,2023-01-03,desktop,25.0,2,Windows,8,4.0,2,1.0,2,True,219096830
107.0,35.666666666666664,0.0,Firefox,2023-01-03,desktop,25.0,1,Windows,4,4.0,1,1.0,1,True,219096830
12.714285714285714,44.5,71.42857142857143,Chrome,2023-01-03,mobile,77.77777777777779,6,Android,9,1.2857142857142858,7,1.0,7,True,219096830
0.0,0.0,100.0,Samsung Internet,2023-01-03,mobile,100.0,2,Android,2,1.0,2,1.0,2,True,219096830
143.42307692307693,88.80952380952381,46.15384615384615,Safari,2023-01-03,mobile,38.23529411764706,20,iOS,68,2.6153846153846154,26,1.238095238095238,21,True,219096830
0.0,0.0,100.0,Chrome,2023-01-04,desktop,100.0,2,(not set),2,1.0,2,1.0,2,True,219096830
